Ecol_Site,Treatment,Site,Plot,Indicator,1stHitAvg,AnyHitAvg
R036XB006NM,Disc & Seed,RGdNNM Treatment 2015,Cerrito Negro 02,Forb/herb (Perennial),0,0
R036XB006NM,Disc & Seed,RGdNNM Treatment 2015,Cerrito Negro 02,Graminoid (All),0.72,0.72
R036XB006NM,Disc & Seed,RGdNNM Treatment 2015,Cerrito Negro 02,Graminoid (Invasive),0,0
R036XB006NM,Disc & Seed,RGdNNM Treatment 2015,Cerrito Negro 02,Graminoid (Perennial),0.72,0.72
R036XB006NM,Disc & Seed,RGdNNM Treatment 2015,Cerrito Negro 02,Litter,0,0.26
R036XB006NM,Disc & Seed,RGdNNM Treatment 2015,Cerrito Negro 02,Perennial,0.727,0.727
R036XB006NM,Disc & Seed,RGdNNM Treatment 2015,Cerrito Negro 02,Shrub (All),0,0
R036XB006NM,Disc & Seed,RGdNNM Treatment 2015,Cerrito Negro 02,Shrub (Invasive),0,0
R036XB006NM,Disc & Seed,RGdNNM Treatment 2015,Cerrito Negro 02,Sub-Shrub (All),0.007,0.007
R036XB006NM,Disc & Seed,RGdNNM Treatment 2015,Cerrito Negro 02,Succulent (All),0,0
R036XB006NM,Disc & Seed,RGdNNM Treatment 2015,Cerrito Negro 02,Succulent (Invasive),0,0
R036XB006NM,Disc & Seed,RGdNNM Treatment 2015,Cerrito Negro 02,Total Foliar,0.733,0.733
R036XB006NM,Disc & Seed,RGdNNM Treatment 2015,Cerrito Negro 02,Total Litter,0,0.307
R036XB006NM,Disc & Seed,RGdNNM Treatment 2015,Cerrito Negro 02,Tree (All),0,0
R036XB006NM,Disc & Seed,RGdNNM Treatment 2015,Cerrito Negro 02,Tree (Invasive),0,0
R036XB006NM,Disc & Seed,RGdNNM Treatment 2015,Cerrito Negro 02,Woody Litter,0,0.047
 UNKNOWN,Disc & Seed,RGdNNM Treatment 2016,Cerrito Negro 03,Annual,0.007,0.007
 UNKNOWN,Disc & Seed,RGdNNM Treatment 2016,Cerrito Negro 03,Bare Soil,0,0.247
 UNKNOWN,Disc & Seed,RGdNNM Treatment 2016,Cerrito Negro 03,Forb/herb (All),0.013,0.02
 UNKNOWN,Disc & Seed,RGdNNM Treatment 2016,Cerrito Negro 03,Forb/herb (Invasive),0.007,0.007
 UNKNOWN,Disc & Seed,RGdNNM Treatment 2016,Cerrito Negro 03,Forb/herb (Perennial),0,0
 UNKNOWN,Disc & Seed,RGdNNM Treatment 2016,Cerrito Negro 03,Graminoid (All),0.213,0.233
 UNKNOWN,Disc & Seed,RGdNNM Treatment 2016,Cerrito Negro 03,Graminoid (Invasive),0,0
 UNKNOWN,Disc & Seed,RGdNNM Treatment 2016,Cerrito Negro 03,Graminoid (Perennial),0.213,0.233
 UNKNOWN,Disc & Seed,RGdNNM Treatment 2016,Cerrito Negro 03,Litter,0,0.44
 UNKNOWN,Disc & Seed,RGdNNM Treatment 2016,Cerrito Negro 03,Perennial,0.373,0.373
 UNKNOWN,Disc & Seed,RGdNNM Treatment 2016,Cerrito Negro 03,Shrub (All),0.08,0.087
 UNKNOWN,Disc & Seed,RGdNNM Treatment 2016,Cerrito Negro 03,Shrub (Invasive),0,0
 UNKNOWN,Disc & Seed,RGdNNM Treatment 2016,Cerrito Negro 03,Sub-Shrub (All),0.08,0.08
 UNKNOWN,Disc & Seed,RGdNNM Treatment 2016,Cerrito Negro 03,Succulent (All),0,0
 UNKNOWN,Disc & Seed,RGdNNM Treatment 2016,Cerrito Negro 03,Succulent (Invasive),0,0
 UNKNOWN,Disc & Seed,RGdNNM Treatment 2016,Cerrito Negro 03,Total Foliar,0.387,0.387
 UNKNOWN,Disc & Seed,RGdNNM Treatment 2016,Cerrito Negro 03,Total Litter,0,0.52
 UNKNOWN,Disc & Seed,RGdNNM Treatment 2016,Cerrito Negro 03,Tree (All),0,0
 UNKNOWN,Disc & Seed,RGdNNM Treatment 2016,Cerrito Negro 03,Tree (Invasive),0,0
 UNKNOWN,Disc & Seed,RGdNNM Treatment 2016,Cerrito Negro 03,Woody Litter,0,0.1
R036XB018NM,Thin & Burn,RGdNNM Treatment 2014,Cerro del Aire - 07,Annual,0,0
R036XB018NM,Thin & Burn,RGdNNM Treatment 2014,Cerro del Aire - 07,Bare Soil,0,0.307
R036XB018NM,Thin & Burn,RGdNNM Treatment 2014,Cerro del Aire - 07,Forb/herb (All),0.06,0.06
R036XB018NM,Thin & Burn,RGdNNM Treatment 2014,Cerro del Aire - 07,Forb/herb (Invasive),0,0
R036XB018NM,Thin & Burn,RGdNNM Treatment 2014,Cerro del Aire - 07,Forb/herb (Perennial),0.06,0.06
R036XB018NM,Thin & Burn,RGdNNM Treatment 2014,Cerro del Aire - 07,Graminoid (All),0.16,0.187
R036XB018NM,Thin & Burn,RGdNNM Treatment 2014,Cerro del Aire - 07,Graminoid (Invasive),0,0
R036XB018NM,Thin & Burn,RGdNNM Treatment 2014,Cerro del Aire - 07,Graminoid (Perennial),0.16,0.187
R036XB018NM,Thin & Burn,RGdNNM Treatment 2014,Cerro del Aire - 07,Litter,0,0.367
R036XB018NM,Thin & Burn,RGdNNM Treatment 2014,Cerro del Aire - 07,Perennial,0.487,0.5
R036XB018NM,Thin & Burn,RGdNNM Treatment 2014,Cerro del Aire - 07,Shrub (All),0.02,0.02
R036XB018NM,Thin & Burn,RGdNNM Treatment 2014,Cerro del Aire - 07,Shrub (Invasive),0,0
R036XB018NM,Thin & Burn,RGdNNM Treatment 2014,Cerro del Aire - 07,Sub-Shrub (All),0.247,0.247
R036XB018NM,Thin & Burn,RGdNNM Treatment 2014,Cerro del Aire - 07,Succulent (All),0,0
R036XB018NM,Thin & Burn,RGdNNM Treatment 2014,Cerro del Aire - 07,Succulent (Invasive),0,0
R036XB018NM,Thin & Burn,RGdNNM Treatment 2014,Cerro del Aire - 07,Total Foliar,0.493,0.493
R036XB018NM,Thin & Burn,RGdNNM Treatment 2014,Cerro del Aire - 07,Total Litter,0,0.387
R036XB018NM,Thin & Burn,RGdNNM Treatment 2014,Cerro del Aire - 07,Tree (All),0,0
R036XB018NM,Thin & Burn,RGdNNM Treatment 2014,Cerro del Aire - 07,Tree (Invasive),0,0
R036XB018NM,Thin & Burn,RGdNNM Treatment 2014,Cerro del Aire - 07,Woody Litter,0,0.02
R036XA004NM,Thin & Burn,RGdNNM Treatment 2015,Cerro del Aire 08,Annual,0.007,0.007
R036XA004NM,Thin & Burn,RGdNNM Treatment 2015,Cerro del Aire 08,Bare Soil,0,0.24
R036XA004NM,Thin & Burn,RGdNNM Treatment 2015,Cerro del Aire 08,Forb/herb (All),0.013,0.013
R036XA004NM,Thin & Burn,RGdNNM Treatment 2015,Cerro del Aire 08,Forb/herb (Invasive),0,0
R036XA004NM,Thin & Burn,RGdNNM Treatment 2015,Cerro del Aire 08,Forb/herb (Perennial),0.007,0.007
R036XA004NM,Thin & Burn,RGdNNM Treatment 2015,Cerro del Aire 08,Graminoid (All),0.267,0.3
R036XA004NM,Thin & Burn,RGdNNM Treatment 2015,Cerro del Aire 08,Graminoid (Invasive),0,0
R036XA004NM,Thin & Burn,RGdNNM Treatment 2015,Cerro del Aire 08,Graminoid (Perennial),0.267,0.3
R036XA004NM,Thin & Burn,RGdNNM Treatment 2015,Cerro del Aire 08,Litter,0,0.287
R036XA004NM,Thin & Burn,RGdNNM Treatment 2015,Cerro del Aire 08,Perennial,0.46,0.467
R036XA004NM,Thin & Burn,RGdNNM Treatment 2015,Cerro del Aire 08,Shrub (All),0.02,0.027
R036XA004NM,Thin & Burn,RGdNNM Treatment 2015,Cerro del Aire 08,Shrub (Invasive),0,0
R036XA004NM,Thin & Burn,RGdNNM Treatment 2015,Cerro del Aire 08,Sub-Shrub (All),0.133,0.147
R036XA004NM,Thin & Burn,RGdNNM Treatment 2015,Cerro del Aire 08,Succulent (All),0,0
R036XA004NM,Thin & Burn,RGdNNM Treatment 2015,Cerro del Aire 08,Succulent (Invasive),0,0
R036XA004NM,Thin & Burn,RGdNNM Treatment 2015,Cerro del Aire 08,Total Foliar,0.467,0.467
R036XA004NM,Thin & Burn,RGdNNM Treatment 2015,Cerro del Aire 08,Total Litter,0,0.293
R036XA004NM,Thin & Burn,RGdNNM Treatment 2015,Cerro del Aire 08,Tree (All),0.033,0.033
R036XA004NM,Thin & Burn,RGdNNM Treatment 2015,Cerro del Aire 08,Tree (Invasive),0,0
R036XA004NM,Thin & Burn,RGdNNM Treatment 2015,Cerro del Aire 08,Woody Litter,0,0.007
R036XB006NM,Thin & Burn,RGdNNM Treatment 2016,Cerro del Aire 09,Annual,0,0
R036XB006NM,Thin & Burn,RGdNNM Treatment 2016,Cerro del Aire 09,Bare Soil,0,0.22
R036XB006NM,Thin & Burn,RGdNNM Treatment 2016,Cerro del Aire 09,Forb/herb (All),0,0
R036XB006NM,Thin & Burn,RGdNNM Treatment 2016,Cerro del Aire 09,Forb/herb (Invasive),0,0
R036XB006NM,Thin & Burn,RGdNNM Treatment 2016,Cerro del Aire 09,Forb/herb (Perennial),0,0
R036XB006NM,Thin & Burn,RGdNNM Treatment 2016,Cerro del Aire 09,Graminoid (All),0.347,0.387
R036XB006NM,Thin & Burn,RGdNNM Treatment 2016,Cerro del Aire 09,Graminoid (Invasive),0,0
R036XB006NM,Thin & Burn,RGdNNM Treatment 2016,Cerro del Aire 09,Graminoid (Perennial),0.347,0.387
R036XB006NM,Thin & Burn,RGdNNM Treatment 2016,Cerro del Aire 09,Litter,0,0.32
R036XB006NM,Thin & Burn,RGdNNM Treatment 2016,Cerro del Aire 09,Perennial,0.547,0.547
R036XB006NM,Thin & Burn,RGdNNM Treatment 2016,Cerro del Aire 09,Shrub (All),0.027,0.027
R036XB006NM,Thin & Burn,RGdNNM Treatment 2016,Cerro del Aire 09,Shrub (Invasive),0,0
R036XB006NM,Thin & Burn,RGdNNM Treatment 2016,Cerro del Aire 09,Sub-Shrub (All),0.16,0.18
R036XB006NM,Thin & Burn,RGdNNM Treatment 2016,Cerro del Aire 09,Succulent (All),0,0.007
R036XB006NM,Thin & Burn,RGdNNM Treatment 2016,Cerro del Aire 09,Succulent (Invasive),0,0
R036XB006NM,Thin & Burn,RGdNNM Treatment 2016,Cerro del Aire 09,Total Foliar,0.547,0.547
R036XB006NM,Thin & Burn,RGdNNM Treatment 2016,Cerro del Aire 09,Total Litter,0,0.327
R036XB006NM,Thin & Burn,RGdNNM Treatment 2016,Cerro del Aire 09,Tree (All),0.013,0.013
R036XB006NM,Thin & Burn,RGdNNM Treatment 2016,Cerro del Aire 09,Tree (Invasive),0,0
R036XB006NM,Thin & Burn,RGdNNM Treatment 2016,Cerro del Aire 09,Woody Litter,0,0.013
 UNKNOWN,Thin & Burn,RGdNNM Treatment 2014,Cerro Montoso - 15,Annual,0,0
 UNKNOWN,Thin & Burn,RGdNNM Treatment 2014,Cerro Montoso - 15,Bare Soil,0,0.113
 UNKNOWN,Thin & Burn,RGdNNM Treatment 2014,Cerro Montoso - 15,Forb/herb (All),0.007,0.007
 UNKNOWN,Thin & Burn,RGdNNM Treatment 2014,Cerro Montoso - 15,Forb/herb (Invasive),0,0
 UNKNOWN,Thin & Burn,RGdNNM Treatment 2014,Cerro Montoso - 15,Forb/herb (Perennial),0.007,0.007
 UNKNOWN,Thin & Burn,RGdNNM Treatment 2014,Cerro Montoso - 15,Graminoid (All),0.12,0.127
 UNKNOWN,Thin & Burn,RGdNNM Treatment 2014,Cerro Montoso - 15,Graminoid (Invasive),0,0
 UNKNOWN,Thin & Burn,RGdNNM Treatment 2014,Cerro Montoso - 15,Graminoid (Perennial),0.12,0.127
 UNKNOWN,Thin & Burn,RGdNNM Treatment 2014,Cerro Montoso - 15,Litter,0,0.72
 UNKNOWN,Thin & Burn,RGdNNM Treatment 2014,Cerro Montoso - 15,Perennial,0.14,0.14
 UNKNOWN,Thin & Burn,RGdNNM Treatment 2014,Cerro Montoso - 15,Shrub (All),0,0
 UNKNOWN,Thin & Burn,RGdNNM Treatment 2014,Cerro Montoso - 15,Shrub (Invasive),0,0
 UNKNOWN,Thin & Burn,RGdNNM Treatment 2014,Cerro Montoso - 15,Sub-Shrub (All),0,0
 UNKNOWN,Thin & Burn,RGdNNM Treatment 2014,Cerro Montoso - 15,Succulent (All),0.007,0.007
 UNKNOWN,Thin & Burn,RGdNNM Treatment 2014,Cerro Montoso - 15,Succulent (Invasive),0,0
 UNKNOWN,Thin & Burn,RGdNNM Treatment 2014,Cerro Montoso - 15,Total Foliar,0.147,0.147
 UNKNOWN,Thin & Burn,RGdNNM Treatment 2014,Cerro Montoso - 15,Total Litter,0,0.753
 UNKNOWN,Thin & Burn,RGdNNM Treatment 2014,Cerro Montoso - 15,Tree (All),0.007,0.007
 UNKNOWN,Thin & Burn,RGdNNM Treatment 2014,Cerro Montoso - 15,Tree (Invasive),0,0
 UNKNOWN,Thin & Burn,RGdNNM Treatment 2014,Cerro Montoso - 15,Woody Litter,0,0.293
R048AY005NM,Thin & Burn,RGdNNM Treatment 2015,Cerro Montoso 11,Annual,0.007,0.04
R048AY005NM,Thin & Burn,RGdNNM Treatment 2015,Cerro Montoso 11,Bare Soil,0,0.1
R048AY005NM,Thin & Burn,RGdNNM Treatment 2015,Cerro Montoso 11,Forb/herb (All),0.02,0.067
R048AY005NM,Thin & Burn,RGdNNM Treatment 2015,Cerro Montoso 11,Forb/herb (Invasive),0,0
R048AY005NM,Thin & Burn,RGdNNM Treatment 2015,Cerro Montoso 11,Forb/herb (Perennial),0.013,0.033
R048AY005NM,Thin & Burn,RGdNNM Treatment 2015,Cerro Montoso 11,Graminoid (All),0.427,0.467
R048AY005NM,Thin & Burn,RGdNNM Treatment 2015,Cerro Montoso 11,Graminoid (Invasive),0,0
R048AY005NM,Thin & Burn,RGdNNM Treatment 2015,Cerro Montoso 11,Graminoid (Perennial),0.427,0.467
R048AY005NM,Thin & Burn,RGdNNM Treatment 2015,Cerro Montoso 11,Litter,0,0.373
R048AY005NM,Thin & Burn,RGdNNM Treatment 2015,Cerro Montoso 11,Perennial,0.553,0.56
R048AY005NM,Thin & Burn,RGdNNM Treatment 2015,Cerro Montoso 11,Shrub (All),0,0.007
R048AY005NM,Thin & Burn,RGdNNM Treatment 2015,Cerro Montoso 11,Shrub (Invasive),0,0
R048AY005NM,Thin & Burn,RGdNNM Treatment 2015,Cerro Montoso 11,Sub-Shrub (All),0.02,0.027
R048AY005NM,Thin & Burn,RGdNNM Treatment 2015,Cerro Montoso 11,Succulent (All),0,0
R048AY005NM,Thin & Burn,RGdNNM Treatment 2015,Cerro Montoso 11,Succulent (Invasive),0,0
R048AY005NM,Thin & Burn,RGdNNM Treatment 2015,Cerro Montoso 11,Total Foliar,0.56,0.56
R048AY005NM,Thin & Burn,RGdNNM Treatment 2015,Cerro Montoso 11,Total Litter,0,0.507
R048AY005NM,Thin & Burn,RGdNNM Treatment 2015,Cerro Montoso 11,Tree (All),0.093,0.093
R048AY005NM,Thin & Burn,RGdNNM Treatment 2015,Cerro Montoso 11,Tree (Invasive),0,0
R048AY005NM,Thin & Burn,RGdNNM Treatment 2015,Cerro Montoso 11,Woody Litter,0,0.18
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2014,Circa Cerro Montoso - 01,Annual,0,0.007
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2014,Circa Cerro Montoso - 01,Bare Soil,0,0.347
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2014,Circa Cerro Montoso - 01,Forb/herb (All),0.04,0.06
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2014,Circa Cerro Montoso - 01,Forb/herb (Invasive),0,0
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2014,Circa Cerro Montoso - 01,Forb/herb (Perennial),0.04,0.053
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2014,Circa Cerro Montoso - 01,Graminoid (All),0.253,0.307
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2014,Circa Cerro Montoso - 01,Graminoid (Invasive),0,0
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2014,Circa Cerro Montoso - 01,Graminoid (Perennial),0.253,0.307
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2014,Circa Cerro Montoso - 01,Litter,0,0.28
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2014,Circa Cerro Montoso - 01,Perennial,0.48,0.48
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2014,Circa Cerro Montoso - 01,Shrub (All),0.187,0.187
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2014,Circa Cerro Montoso - 01,Shrub (Invasive),0,0
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2014,Circa Cerro Montoso - 01,Sub-Shrub (All),0,0
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2014,Circa Cerro Montoso - 01,Succulent (All),0,0
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2014,Circa Cerro Montoso - 01,Succulent (Invasive),0,0
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2014,Circa Cerro Montoso - 01,Total Foliar,0.48,0.48
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2014,Circa Cerro Montoso - 01,Total Litter,0,0.327
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2014,Circa Cerro Montoso - 01,Tree (All),0,0
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2014,Circa Cerro Montoso - 01,Tree (Invasive),0,0
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2014,Circa Cerro Montoso - 01,Woody Litter,0,0.047
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2015,Circa Cerro Montoso 01,Annual,0.007,0.013
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2015,Circa Cerro Montoso 01,Bare Soil,0,0.187
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2015,Circa Cerro Montoso 01,Forb/herb (All),0.047,0.127
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2015,Circa Cerro Montoso 01,Forb/herb (Invasive),0,0
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2015,Circa Cerro Montoso 01,Forb/herb (Perennial),0.027,0.073
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2015,Circa Cerro Montoso 01,Graminoid (All),0.547,0.607
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2015,Circa Cerro Montoso 01,Graminoid (Invasive),0,0
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2015,Circa Cerro Montoso 01,Graminoid (Perennial),0.547,0.607
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2015,Circa Cerro Montoso 01,Litter,0,0.267
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2015,Circa Cerro Montoso 01,Perennial,0.733,0.747
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2015,Circa Cerro Montoso 01,Shrub (All),0.16,0.187
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2015,Circa Cerro Montoso 01,Shrub (Invasive),0,0
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2015,Circa Cerro Montoso 01,Sub-Shrub (All),0,0
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2015,Circa Cerro Montoso 01,Succulent (All),0,0
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2015,Circa Cerro Montoso 01,Succulent (Invasive),0,0
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2015,Circa Cerro Montoso 01,Total Foliar,0.753,0.753
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2015,Circa Cerro Montoso 01,Total Litter,0,0.3
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2015,Circa Cerro Montoso 01,Tree (All),0,0
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2015,Circa Cerro Montoso 01,Tree (Invasive),0,0
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2015,Circa Cerro Montoso 01,Woody Litter,0,0.033
R036XB018NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 02,Annual,0,0.007
R036XB018NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 02,Bare Soil,0,0.073
R036XB018NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 02,Forb/herb (All),0,0.013
R036XB018NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 02,Forb/herb (Invasive),0,0
R036XB018NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 02,Forb/herb (Perennial),0,0
R036XB018NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 02,Graminoid (All),0.72,0.847
R036XB018NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 02,Graminoid (Invasive),0,0
R036XB018NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 02,Graminoid (Perennial),0.72,0.847
R036XB018NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 02,Litter,0,0.487
R036XB018NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 02,Perennial,0.893,0.893
R036XB018NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 02,Shrub (All),0.173,0.2
R036XB018NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 02,Shrub (Invasive),0,0
R036XB018NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 02,Sub-Shrub (All),0,0
R036XB018NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 02,Succulent (All),0,0
R036XB018NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 02,Succulent (Invasive),0,0
R036XB018NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 02,Total Foliar,0.893,0.893
R036XB018NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 02,Total Litter,0,0.513
R036XB018NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 02,Tree (All),0,0
R036XB018NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 02,Tree (Invasive),0,0
R036XB018NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 02,Woody Litter,0,0.047
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 03,Annual,0,0
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 03,Bare Soil,0,0.107
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 03,Forb/herb (All),0.007,0.027
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 03,Forb/herb (Invasive),0,0
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 03,Forb/herb (Perennial),0,0.007
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 03,Graminoid (All),0.527,0.667
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 03,Graminoid (Invasive),0,0
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 03,Graminoid (Perennial),0.527,0.667
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 03,Litter,0,0.307
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 03,Perennial,0.74,0.747
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 03,Shrub (All),0.193,0.2
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 03,Shrub (Invasive),0,0
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 03,Sub-Shrub (All),0.02,0.027
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 03,Succulent (All),0,0
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 03,Succulent (Invasive),0,0
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 03,Total Foliar,0.747,0.747
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 03,Total Litter,0,0.347
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 03,Tree (All),0,0
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 03,Tree (Invasive),0,0
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 03,Woody Litter,0,0.06
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 04,Annual,0,0
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 04,Bare Soil,0,0.173
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 04,Forb/herb (All),0,0.02
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 04,Forb/herb (Invasive),0,0
